SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2,
,butter,0.21,1,0.77,0.31,0.34,0.44,0.02,0,0.06,0.05,0.09,0.14,0.02,0.11,0.06,0.08,0.18,0.07,0.02,0,0.156315789,0.153333333,0.21,,,,,
,bread,0.21,0.77,1,0.29,0.37,0.38,0.08,0.06,0.05,0.12,0.12,0.11,0.04,0.15,0.09,0.11,0.16,0.07,0.01,-0.01,0.167368421,0.129411765,0.49,,,,,
,orange,0.11,0.31,0.29,1,0.42,0.39,0.12,0.09,0.04,0.06,0.28,0.12,0.05,0.59,0.06,0.6,0.58,0.72,0.64,0.44,0.311052632,0.325,0.236666667,,,,,
,apple,0.07,0.34,0.37,0.42,1,0.32,0.19,0.07,0.06,0.07,0.33,0.24,0.11,0.2,0.07,0.28,0.32,0.27,0.21,0.16,0.215789474,0.193333333,0.3,,,,,
,banana,0.13,0.44,0.38,0.39,0.32,1,0.25,0.28,0.13,0.11,0.23,0.04,0.12,0.26,0.14,0.17,0.25,0.18,0.11,0.1,0.212105263,0.169285714,0.332,,,,,
,monkey,0.03,0.02,0.08,0.12,0.19,0.25,1,0.39,0.37,0.02,0.04,0.1,-0.05,0.13,-0.01,0.13,0.18,0.14,0.07,0.08,0.12,0.122307692,0.115,,,,,
,ape,0.02,0,0.06,0.09,0.07,0.28,0.39,1,0.17,0,-0.03,0.08,-0.02,0.02,0.01,0.08,0.08,0.06,0.05,-0.04,0.072105263,0.038333333,0.13,,,,,
,animals,0,0.06,0.05,0.04,0.06,0.13,0.37,0.17,1,0.55,0.1,0.05,0.11,0.18,0.31,0.08,0.08,0.07,0.07,0.02,0.131578947,0.147272727,0.11,,,,,
,plants,0.07,0.05,0.12,0.06,0.07,0.11,0.02,0,0.55,1,0.45,0.07,0.62,0.42,0.82,0.13,0.1,0.06,0.09,0,0.200526316,0.276,0.116666667,,,,,
,flowers,0.02,0.09,0.12,0.28,0.33,0.23,0.04,-0.03,0.1,0.45,1,0.16,0.39,0.3,0.52,0.35,0.33,0.25,0.19,0.13,0.223684211,0.291111111,0.163,,,,,
,daisy,0.02,0.14,0.11,0.12,0.24,0.04,0.1,0.08,0.05,0.07,0.16,1,0.02,0.09,0.06,0.19,0.34,0.2,0.07,0.11,0.116315789,0.135,0.102727273,,,,,
,stems,0,0.02,0.04,0.05,0.11,0.12,-0.05,-0.02,0.11,0.62,0.39,0.02,1,0.33,0.81,0.17,0.07,0.01,0.07,0.02,0.152105263,0.211428571,0.1175,,,,,
,green,0.04,0.11,0.15,0.59,0.2,0.26,0.13,0.02,0.18,0.42,0.3,0.09,0.33,1,0.33,0.56,0.53,0.66,0.47,0.31,0.298947368,0.476666667,0.216923077,,,,,
,plant,0.03,0.06,0.09,0.06,0.07,0.14,-0.01,0.01,0.31,0.82,0.52,0.06,0.81,0.33,1,0.12,0.09,0.01,0.09,0,0.19,0.062,0.235714286,,,,,
,purple,-0.04,0.08,0.11,0.6,0.28,0.17,0.13,0.08,0.08,0.13,0.35,0.19,0.17,0.56,0.12,1,0.63,0.68,0.55,0.35,0.274736842,0.5525,0.200666667,,,,,
,pink,0.01,0.18,0.16,0.58,0.32,0.25,0.18,0.08,0.08,0.1,0.33,0.34,0.07,0.53,0.09,0.63,1,0.72,0.48,0.3,0.285789474,0.5,0.245625,,,,,
,blue,0.02,0.07,0.07,0.72,0.27,0.18,0.14,0.06,0.07,0.06,0.25,0.2,0.01,0.66,0.01,0.68,0.72,1,0.62,0.45,0.276842105,0.535,0.246470588,,,,,
,color,0,0.02,0.01,0.64,0.21,0.11,0.07,0.05,0.07,0.09,0.19,0.07,0.07,0.47,0.09,0.55,0.48,0.62,1,0.5,0.226842105,0.5,0.211666667,,,,,
,rainbow,0.03,0,-0.01,0.44,0.16,0.1,0.08,-0.04,0.02,0,0.13,0.11,0.02,0.31,0,0.35,0.3,0.45,0.5,1,0.155263158,,0.155263158,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.191947368,0.2562928,0.210034827,,,,,
171,Document,toaster,bread,hungry,ramen,kimchi,korea,america,americano,macchiato,sweet,sugar,ketchup,red,blue,ocean,summer,summerroll,pho,vietnam,thai,,,,,,,0,6
,toaster,1,0.21,0.08,N/A,N/A,0.01,-0.01,N/A,N/A,0.12,0.2,0.06,0.07,0.02,0,0.02,N/A,N/A,0.05,0.1,0.071538462,0.071538462,,0.288,0.105,0.068571429,,
,bread,0.21,1,0.44,N/A,N/A,-0.01,0.04,N/A,N/A,0.44,0.37,0.17,0.09,0.07,0.03,0.03,N/A,N/A,0.02,0.18,0.16,0.155833333,0.21,,,,,
,hungry,0.08,0.44,1,N/A,N/A,-0.01,0.05,N/A,N/A,0.37,0.1,0.21,0.15,0.18,0.08,0.16,N/A,N/A,-0.01,0.03,0.140769231,0.119090909,0.26,,,,,
,ramen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,kimchi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,korea,0.01,-0.01,-0.01,N/A,N/A,1,0.1,N/A,N/A,0.02,-0.02,-0.01,0.02,-0.01,0.08,0.05,N/A,N/A,0.44,0.24,0.069230769,0.091,-0.003333333,,,,,
,america,-0.01,0.04,0.05,N/A,N/A,0.1,1,N/A,N/A,0.05,0.03,0.03,0.05,0.02,0.2,0.09,N/A,N/A,0.11,0.03,0.060769231,0.067777778,0.045,,,,,
,americano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,macchiato,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,sweet,0.12,0.44,0.37,N/A,N/A,0.02,0.05,N/A,N/A,1,0.42,0.13,0.21,0.31,0.04,0.24,N/A,N/A,0.02,0.11,0.190769231,0.185,0.2,,,,,
,sugar,0.2,0.37,0.1,N/A,N/A,-0.02,0.03,N/A,N/A,0.42,1,0.11,0.06,0.1,0.01,0.07,N/A,N/A,0,0.08,0.117692308,0.061428571,0.183333333,,,,,
,ketchup,0.06,0.17,0.21,N/A,N/A,-0.01,0.03,N/A,N/A,0.13,0.11,1,0.1,0.04,0.01,0.09,N/A,N/A,-0.01,0.04,0.074615385,0.045,0.1,,,,,
,red,0.07,0.09,0.15,N/A,N/A,0.02,0.05,N/A,N/A,0.21,0.06,0.1,1,0.69,0.08,0.12,N/A,N/A,0.05,0.01,0.130769231,0.19,0.09375,,,,,
,blue,0.02,0.07,0.18,N/A,N/A,-0.01,0.02,N/A,N/A,0.31,0.1,0.04,0.69,1,0.09,0.24,N/A,N/A,0.02,0,0.136153846,0.0875,0.157777778,,,,,
,ocean,0,0.03,0.08,N/A,N/A,0.08,0.2,N/A,N/A,0.04,0.01,0.01,0.08,0.09,1,0.12,N/A,N/A,-0.01,0,0.056153846,0.036666667,0.062,,,,,
,summer,0.02,0.03,0.16,N/A,N/A,0.05,0.09,N/A,N/A,0.24,0.07,0.09,0.12,0.24,0.12,1,N/A,N/A,0,0.06,0.099230769,0.03,0.111818182,,,,,
,summerroll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,pho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,vietnam,0.05,0.02,-0.01,N/A,N/A,0.44,0.11,N/A,N/A,0.02,0,-0.01,0.05,0.02,-0.01,0,N/A,N/A,1,0.6,0.098461538,0.6,0.056666667,,,,,
,thai,0.1,0.18,0.03,N/A,N/A,0.24,0.03,N/A,N/A,0.11,0.08,0.04,0.01,0,0,0.06,N/A,N/A,0.6,1,0.113846154,,0.113846154,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.108571429,0.13391044,0.123084386,,,,,
172,Document,toaster,toast,bread,butter,mill,farmers,animals,plants,nature,green,colors,ROYGBIV,sciences,school,work,life,eternity,interest,hobbies,fun,,,,,,,0,1
,toaster,1,0.33,0.21,0.21,0.1,0.01,0,0.07,0.05,0.04,0,N/A,0.02,0.05,0.14,0.02,0.04,0.02,0.04,0.09,0.08,0.08,,0.291764706,0.159375,0.098,,
,toast,0.33,1,0.59,0.6,0.09,0.05,0.01,0.02,0.02,0.09,-0.02,N/A,-0.01,0.2,0.11,0.06,0.05,0.04,0.02,0.14,0.132777778,0.121176471,0.33,,,,,
,bread,0.21,0.59,1,0.77,0.1,0.08,0.05,0.12,0.03,0.15,-0.02,N/A,0.01,0.1,0.1,0.1,0.09,0.03,0.02,0.1,0.146111111,0.114375,0.4,,,,,
,butter,0.21,0.6,0.77,1,0.12,0.04,0.06,0.05,0.04,0.11,-0.01,N/A,0.02,0.09,0.1,0.06,0.04,0.01,0.02,0.1,0.135,0.056666667,0.526666667,,,,,
,mill,0.1,0.09,0.1,0.12,1,0.17,0.03,0.03,0.06,0.08,-0.02,N/A,0.01,0.09,0.32,0.08,0.03,0.05,0.03,0.09,0.081111111,0.075,0.1025,,,,,
,farmers,0.01,0.05,0.08,0.04,0.17,1,0.12,0.11,0.05,0.06,0.02,N/A,0.02,0.02,0.16,0.14,0.02,0.09,-0.02,0.05,0.066111111,0.064615385,0.07,,,,,
,animals,0,0.01,0.05,0.06,0.03,0.12,1,0.55,0.2,0.18,0.07,N/A,0.03,0.04,0.1,0.2,0.03,0.03,0.01,0.11,0.101111111,0.129166667,0.045,,,,,
,plants,0.07,0.02,0.12,0.05,0.03,0.11,0.55,1,0.14,0.42,0.08,N/A,0.03,0.02,0.07,0.18,0,0.01,0.01,0.06,0.109444444,0.092727273,0.135714286,,,,,
,nature,0.05,0.02,0.03,0.04,0.06,0.05,0.2,0.14,1,0.08,0.14,N/A,0.48,0.11,0.21,0.39,0.3,0.25,0.08,0.1,0.151666667,0.214,0.07375,,,,,
,green,0.04,0.09,0.15,0.11,0.08,0.06,0.18,0.42,0.08,1,0.48,N/A,0.02,0.04,0.07,0.14,0.07,0.03,0.02,0.15,0.123888889,0.113333333,0.134444444,,,,,
,colors,0,-0.02,-0.02,-0.01,-0.02,0.02,0.07,0.08,0.14,0.48,1,N/A,0.04,0.04,0.08,0.06,0.02,0.04,0.09,0.04,0.062777778,0.05125,0.072,,,,,
,ROYGBIV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,sciences,0.02,-0.01,0.01,0.02,0.01,0.02,0.03,0.03,0.48,0.02,0.04,N/A,1,0.11,0.16,0.14,0.07,0.12,-0.02,0.02,0.070555556,0.085714286,0.060909091,,,,,
,school,0.05,0.2,0.1,0.09,0.09,0.02,0.04,0.02,0.11,0.04,0.04,N/A,0.11,1,0.23,0.21,0.07,0.12,0.12,0.29,0.108333333,0.173333333,0.075833333,,,,,
,work,0.14,0.11,0.1,0.1,0.32,0.16,0.1,0.07,0.21,0.07,0.08,N/A,0.16,0.23,1,0.26,0.07,0.17,0.26,0.2,0.156111111,0.192,0.142307692,,,,,
,life,0.02,0.06,0.1,0.06,0.08,0.14,0.2,0.18,0.39,0.14,0.06,N/A,0.14,0.21,0.26,1,0.42,0.14,0.21,0.15,0.164444444,0.23,0.145714286,,,,,
,eternity,0.04,0.05,0.09,0.04,0.03,0.02,0.03,0,0.3,0.07,0.02,N/A,0.07,0.07,0.07,0.42,1,0.09,0.03,0.04,0.082222222,0.053333333,0.088,,,,,
,interest,0.02,0.04,0.03,0.01,0.05,0.09,0.03,0.01,0.25,0.03,0.04,N/A,0.12,0.12,0.17,0.14,0.09,1,0.27,0.05,0.086666667,0.16,0.0775,,,,,
,hobbies,0.04,0.02,0.02,0.02,0.03,-0.02,0.01,0.01,0.08,0.02,0.09,N/A,-0.02,0.12,0.26,0.21,0.03,0.27,1,0.23,0.078888889,0.23,0.07,,,,,
,fun,0.09,0.14,0.1,0.1,0.09,0.05,0.11,0.06,0.1,0.15,0.04,N/A,0.02,0.29,0.2,0.15,0.04,0.05,0.23,1,0.111666667,,0.111666667,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.107836257,0.124260653,0.150019988,,,,,
173,Document,toaster,bagel,circle,hole,munchkin,small,big,large,tower,skyscraper,industry,magnate,tycoon,typhoon,hurricane,storm,thunder,lightning,loud,quiet,,,,,,,0,1
,toaster,1,N/A,0.1,-0.02,-0.05,0.03,0.05,0.04,0.12,0.04,0.03,-0.01,0.01,0.07,0.03,0.03,0.11,0.28,0.06,0.07,0.055,0.055,,0.296470588,0.217058824,0.16125,,
,bagel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,circle,0.1,N/A,1,0.23,0.03,0.26,0.13,0.22,0.15,0.05,0,-0.03,0.06,0.01,0.08,0.12,0.1,0.11,0.1,0.17,0.105,0.105294118,0.1,,,,,
,hole,-0.02,N/A,0.23,1,0.08,0.33,0.27,0.22,0.11,0.09,0.02,0.03,0,-0.02,0.04,0.17,0.19,0.13,0.24,0.22,0.129444444,0.1325,0.105,,,,,
,munchkin,-0.05,N/A,0.03,0.08,1,0.06,0.16,0.08,0.12,0.03,0.02,0.04,0.05,-0.06,0.02,0.02,0.06,0.02,-0.03,0.1,0.041666667,0.046,0.02,,,,,
,small,0.03,N/A,0.26,0.33,0.06,1,0.33,0.79,0.2,0.11,0.17,0.07,0.08,0.05,0.09,0.14,0.13,0.09,0.19,0.28,0.188888889,0.194285714,0.17,,,,,
,big,0.05,N/A,0.13,0.27,0.16,0.33,1,0.23,0.17,0.18,0.06,0.07,0.1,0.03,0.08,0.15,0.21,0.14,0.32,0.37,0.169444444,0.162307692,0.188,,,,,
,large,0.04,N/A,0.22,0.22,0.08,0.79,0.23,1,0.16,0.13,0.35,0.14,0.1,0.03,0.09,0.1,0.11,0.11,0.11,0.15,0.175555556,0.131666667,0.263333333,,,,,
,tower,0.12,N/A,0.15,0.11,0.12,0.2,0.17,0.16,1,0.24,0.02,-0.01,0.18,0.27,0.17,0.26,0.2,0.19,0.19,0.22,0.164444444,0.175454545,0.147142857,,,,,
,skyscraper,0.04,N/A,0.05,0.09,0.03,0.11,0.18,0.13,0.24,1,0.09,0.02,0.06,-0.01,0.04,0.09,0.11,0.11,0.1,0.17,0.091666667,0.078,0.10875,,,,,
,industry,0.03,N/A,0,0.02,0.02,0.17,0.06,0.35,0.02,0.09,1,0.32,0.06,-0.04,0.03,0.03,-0.02,0,0.01,0.05,0.066666667,0.048888889,0.084444444,,,,,
,magnate,-0.01,N/A,-0.03,0.03,0.04,0.07,0.07,0.14,-0.01,0.02,0.32,1,0.02,-0.01,0.01,0,0,-0.02,0,0.01,0.036111111,0.00125,0.064,,,,,
,tycoon,0.01,N/A,0.06,0,0.05,0.08,0.1,0.1,0.18,0.06,0.06,0.02,1,0.01,-0.01,-0.02,-0.04,0.03,-0.03,-0.05,0.033888889,-0.015714286,0.065454545,,,,,
,typhoon,0.07,N/A,0.01,-0.02,-0.06,0.05,0.03,0.03,0.27,-0.01,-0.04,-0.01,0.01,1,0.08,0.08,0.08,0.1,0.05,0.04,0.042222222,0.071666667,0.0275,,,,,
,hurricane,0.03,N/A,0.08,0.04,0.02,0.09,0.08,0.09,0.17,0.04,0.03,0.01,-0.01,0.08,1,0.81,0.54,0.6,0.1,0.14,0.163333333,0.438,0.057692308,,,,,
,storm,0.03,N/A,0.12,0.17,0.02,0.14,0.15,0.1,0.26,0.09,0.03,0,-0.02,0.08,0.81,1,0.7,0.69,0.18,0.25,0.211111111,0.455,0.141428571,,,,,
,thunder,0.11,N/A,0.1,0.19,0.06,0.13,0.21,0.11,0.2,0.11,-0.02,0,-0.04,0.08,0.54,0.7,1,0.83,0.38,0.4,0.227222222,0.536666667,0.165333333,,,,,
,lightning,0.28,N/A,0.11,0.13,0.02,0.09,0.14,0.11,0.19,0.11,0,-0.02,0.03,0.1,0.6,0.69,0.83,1,0.21,0.21,0.212777778,0.21,0.213125,,,,,
,loud,0.06,N/A,0.1,0.24,-0.03,0.19,0.32,0.11,0.19,0.1,0.01,0,-0.03,0.05,0.1,0.18,0.38,0.21,1,0.64,0.156666667,0.64,0.128235294,,,,,
,quiet,0.07,N/A,0.17,0.22,0.1,0.28,0.37,0.15,0.22,0.17,0.05,0.01,-0.05,0.04,0.14,0.25,0.4,0.21,0.64,1,0.191111111,,0.191111111,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.129590643,0.192570371,0.120555276,,,,,
174,Document,toaster,bread,carbs,energy,tired,healthy,fruit,vegetables,plants,animals,humans,life,happy,sad,blue,yellow,red,color,tones,art production,,,,,,,1,1
,toaster,1,0.21,N/A,0.32,0.1,0.04,0.12,0.12,0.07,0,0.03,0.02,0.07,0.07,0.02,0.04,0.07,0,0,-0.01,0.071666667,0.071666667,,0.407647059,0.24,0.166875,,
,bread,0.21,1,N/A,0.11,0.18,0.17,0.66,0.69,0.12,0.05,0.07,0.1,0.13,0.13,0.07,0.14,0.09,0.01,0.1,0.08,0.172777778,0.170588235,0.21,,,,,
,carbs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,energy,0.32,0.11,N/A,1,0.1,0.15,0.11,0.1,0.18,0.11,0.12,0.12,0.02,0.01,0.04,0.04,0.03,0.04,0,0.06,0.092222222,0.076875,0.215,,,,,
,tired,0.1,0.18,N/A,0.1,1,0.34,0.11,0.09,0.02,0.04,0.05,0.14,0.46,0.47,0.2,0.22,0.17,0.03,0.13,0.02,0.159444444,0.166,0.126666667,,,,,
,healthy,0.04,0.17,N/A,0.15,0.34,1,0.25,0.31,0.07,0.06,0.07,0.15,0.19,0.16,0.04,0.06,0.05,0.06,0.02,0.03,0.123333333,0.108571429,0.175,,,,,
,fruit,0.12,0.66,N/A,0.11,0.11,0.25,1,0.79,0.32,0.17,0.14,0.13,0.13,0.08,0.08,0.16,0.08,0.12,0.06,0.08,0.199444444,0.18,0.25,,,,,
,vegetables,0.12,0.69,N/A,0.1,0.09,0.31,0.79,1,0.13,0.08,0.06,0.1,0.08,0.03,0.04,0.13,0.07,0.09,0.05,0.05,0.167222222,0.075833333,0.35,,,,,
,plants,0.07,0.12,N/A,0.18,0.02,0.07,0.32,0.13,1,0.55,0.24,0.18,0.02,0.01,0.06,0.1,0.05,0.09,0.01,0.08,0.127777778,0.126363636,0.13,,,,,
,animals,0,0.05,N/A,0.11,0.04,0.06,0.17,0.08,0.55,1,0.46,0.2,0.1,0.09,0.07,0.06,0.07,0.07,0.04,0.07,0.127222222,0.123,0.1325,,,,,
,humans,0.03,0.07,N/A,0.12,0.05,0.07,0.14,0.06,0.24,0.46,1,0.27,0.05,0.03,0.03,0.05,0.05,0.07,0.05,0.1,0.107777778,0.077777778,0.137777778,,,,,
,life,0.02,0.1,N/A,0.12,0.14,0.15,0.13,0.1,0.18,0.2,0.27,1,0.27,0.19,0.12,0.14,0.11,0.09,0.03,0.16,0.14,0.13875,0.141,,,,,
,happy,0.07,0.13,N/A,0.02,0.46,0.19,0.13,0.08,0.02,0.1,0.05,0.27,1,0.78,0.23,0.24,0.23,0.08,0.11,0.09,0.182222222,0.251428571,0.138181818,,,,,
,sad,0.07,0.13,N/A,0.01,0.47,0.16,0.08,0.03,0.01,0.09,0.03,0.19,0.78,1,0.21,0.25,0.21,0.08,0.16,0.05,0.167222222,0.16,0.170833333,,,,,
,blue,0.02,0.07,N/A,0.04,0.2,0.04,0.08,0.04,0.06,0.07,0.03,0.12,0.23,0.21,1,0.8,0.69,0.62,0.19,0.03,0.196666667,0.466,0.093076923,,,,,
,yellow,0.04,0.14,N/A,0.04,0.22,0.06,0.16,0.13,0.1,0.06,0.05,0.14,0.24,0.25,0.8,1,0.74,0.63,0.14,0.01,0.219444444,0.38,0.173571429,,,,,
,red,0.07,0.09,N/A,0.03,0.17,0.05,0.08,0.07,0.05,0.07,0.05,0.11,0.23,0.21,0.69,0.74,1,0.51,0.12,0.03,0.187222222,0.22,0.180666667,,,,,
,color,0,0.01,N/A,0.04,0.03,0.06,0.12,0.09,0.09,0.07,0.07,0.09,0.08,0.08,0.62,0.63,0.51,1,0.26,0.16,0.167222222,0.21,0.161875,,,,,
,tones,0,0.1,N/A,0,0.13,0.02,0.06,0.05,0.01,0.04,0.05,0.03,0.11,0.16,0.19,0.14,0.12,0.26,1,0.26,0.096111111,0.26,0.086470588,,,,,
,art production,-0.01,0.08,N/A,0.06,0.02,0.03,0.08,0.05,0.08,0.07,0.1,0.16,0.09,0.05,0.03,0.01,0.03,0.16,0.26,1,0.075,,0.075,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.146315789,0.181269703,0.168977659,,,,,
175,Document,toaster,titan,take,drugs,head,baked,out,cook,drive,weed,coke,sheet,in,dry,book,woods,birds,red,feathers,bark,,,,,,,0,0
,toaster,1,-0.02,0.09,-0.02,0.02,0.18,0.11,0.18,0.04,0,0.14,0,0.12,0.13,0.05,-0.01,0,0.07,0,0,0.056842105,0.056842105,,0.128947368,0.216111111,0.121764706,,
,titan,-0.02,1,0.07,-0.01,0.01,0.01,0.05,0.01,0.02,0.02,-0.04,0.04,0.11,0.01,0,0.03,0.02,0.08,0.03,0.03,0.024736842,0.027222222,-0.02,,,,,
,take,0.09,0.07,1,0.15,0.26,0.09,0.65,0.21,0.28,0.19,0.19,0.04,0.62,0.19,0.16,0.24,0.13,0.17,0.11,0.13,0.208947368,0.224117647,0.08,,,,,
,drugs,-0.02,-0.01,0.15,1,0.01,-0.01,0.05,0.01,0.05,0.07,0.06,-0.02,0.09,0,0,0.01,0,0.03,0.01,0.05,0.027894737,0.025625,0.04,,,,,
,head,0.02,0.01,0.26,0.01,1,0.11,0.56,0.1,0.17,0.22,0.15,0.08,0.4,0.13,0.11,0.22,0.04,0.22,0.13,0.12,0.161052632,0.184,0.075,,,,,
,baked,0.18,0.01,0.09,-0.01,0.11,1,0.23,0.55,0.1,0.09,0.24,0.03,0.23,0.27,0.03,0.19,0.02,0.12,0.05,0.13,0.14,0.162857143,0.076,,,,,
,out,0.11,0.05,0.65,0.05,0.56,0.23,1,0.33,0.33,0.32,0.26,0.12,0.77,0.28,0.21,0.37,0.19,0.31,0.2,0.21,0.292105263,0.3,0.275,,,,,
,cook,0.18,0.01,0.21,0.01,0.1,0.55,0.33,1,0.11,0.13,0.23,0,0.3,0.14,0.11,0.2,0.07,0.16,0.05,0.1,0.157368421,0.133333333,0.198571429,,,,,
,drive,0.04,0.02,0.28,0.05,0.17,0.1,0.33,0.11,1,0.11,0.08,0.03,0.32,0.09,0.04,0.17,0.06,0.13,0.07,0.05,0.118421053,0.104545455,0.1375,,,,,
,weed,0,0.02,0.19,0.07,0.22,0.09,0.32,0.13,0.11,1,0.04,0.01,0.29,0.23,0.07,0.22,0.14,0.11,0.1,0.21,0.135263158,0.142,0.127777778,,,,,
,coke,0.14,-0.04,0.19,0.06,0.15,0.24,0.26,0.23,0.08,0.04,1,0.09,0.23,0.04,0.05,0.04,0.01,0.1,-0.02,0.03,0.101052632,0.063333333,0.135,,,,,
,sheet,0,0.04,0.04,-0.02,0.08,0.03,0.12,0,0.03,0.01,0.09,1,0.17,0.06,0.09,0,0.01,0.03,0.02,0.03,0.043684211,0.05125,0.038181818,,,,,
,in,0.12,0.11,0.62,0.09,0.4,0.23,0.77,0.3,0.32,0.29,0.23,0.17,1,0.31,0.25,0.29,0.19,0.27,0.17,0.2,0.280526316,0.24,0.304166667,,,,,
,dry,0.13,0.01,0.19,0,0.13,0.27,0.28,0.14,0.09,0.23,0.04,0.06,0.31,1,0.03,0.14,0.11,0.15,0.09,0.08,0.130526316,0.1,0.144615385,,,,,
,book,0.05,0,0.16,0,0.11,0.03,0.21,0.11,0.04,0.07,0.05,0.09,0.25,0.03,1,0.07,0.04,0.06,0.03,0.05,0.076315789,0.05,0.085714286,,,,,
,woods,-0.01,0.03,0.24,0.01,0.22,0.19,0.37,0.2,0.17,0.22,0.04,0,0.29,0.14,0.07,1,0.24,0.19,0.15,0.36,0.164210526,0.235,0.145333333,,,,,
,birds,0,0.02,0.13,0,0.04,0.02,0.19,0.07,0.06,0.14,0.01,0.01,0.19,0.11,0.04,0.24,1,0.12,0.88,0.13,0.126315789,0.376666667,0.079375,,,,,
,red,0.07,0.08,0.17,0.03,0.22,0.12,0.31,0.16,0.13,0.11,0.1,0.03,0.27,0.15,0.06,0.19,0.12,1,0.16,0.11,0.136315789,0.135,0.136470588,,,,,
,feathers,0,0.03,0.11,0.01,0.13,0.05,0.2,0.05,0.07,0.1,-0.02,0.02,0.17,0.09,0.03,0.15,0.88,0.16,1,0.12,0.123684211,0.12,0.123888889,,,,,
,bark,0,0.03,0.13,0.05,0.12,0.13,0.21,0.1,0.05,0.21,0.03,0.03,0.2,0.08,0.05,0.36,0.13,0.11,0.12,1,0.112631579,,0.112631579,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.130894737,0.143778574,0.121255287,,,,,
176,toaster,bread,jam,dance,love,bird,turtle,wisdom,virtue,arcade,stars,galaxy,chocolate,almonds,coconut,sand,volcano,lava,sharkboy,disney,,,,,,,,0,1
,toaster,1,0.21,0.2,-0.02,0.02,-0.01,0.02,0.03,0.01,0.07,-0.01,-0.04,0.13,0.06,0.07,-0.03,0.02,0.02,N/A,0,0.041666667,0.041666667,,0.271764706,0.062352941,0.059375,,
,bread,0.21,1,0.56,0.08,0.06,-0.01,0.1,0.06,0.04,0.13,0.02,0.02,0.53,0.19,0.32,0.05,0,0,N/A,-0.02,0.13,0.125294118,0.21,,,,,
,jam,0.2,0.56,1,0.08,0.07,0.12,0.23,0.02,0.05,0.19,-0.01,-0.01,0.51,0.17,0.26,0.07,0.08,0.06,N/A,0.04,0.149444444,0.120625,0.38,,,,,
,dance,-0.02,0.08,0.08,1,0.2,0.05,0.06,0.04,0.1,0.03,0.07,0.05,0.08,0.09,0.1,0,0.03,0.02,N/A,0.2,0.07,0.074666667,0.046666667,,,,,
,love,0.02,0.06,0.07,0.2,1,0.08,0.04,0.38,0.29,0.04,0.05,-0.01,0.1,0.15,0.02,0.02,0.02,0,N/A,0.07,0.088888889,0.089285714,0.0875,,,,,
,bird,-0.01,-0.01,0.12,0.05,0.08,1,0.42,0.09,0.01,0.02,0,-0.01,-0.01,0.06,0.09,0.03,0.01,0.01,N/A,0.02,0.053888889,0.056923077,0.046,,,,,
,turtle,0.02,0.1,0.23,0.06,0.04,0.42,1,0,-0.01,0.07,0,-0.02,0.1,0.06,0.18,0.13,0.04,0.03,N/A,0.13,0.087777778,0.059166667,0.145,,,,,
,wisdom,0.03,0.06,0.02,0.04,0.38,0.09,0,1,0.52,0.02,0.06,-0.03,0.06,0.13,0.03,0.03,0.03,0.02,N/A,-0.02,0.081666667,0.077272727,0.088571429,,,,,
