SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,date,0.08,0.07,0.15,0.14,0.02,0.04,0.12,0.12,0.06,0.02,0.09,0.04,0.07,0.1,1,0.21,-0.03,0.01,0.08,0.02,0.074210526,0.058,0.08,,,,
,write,0.04,0.08,0.2,0.14,0.05,0.03,0.16,0.28,0.06,0.04,0.03,0.03,0.36,0.22,0.21,1,-0.02,0.07,0.15,0.06,0.115263158,0.065,0.128666667,,,,
,craw,0.09,0.15,0.13,0.1,0.04,0.02,0.01,0.04,0.14,0.07,0.05,0.03,0.14,0.06,-0.03,-0.02,1,0.08,0.15,0.1,0.071052632,0.11,0.06375,,,,
,paint,0.07,0.12,0.06,0.25,0.26,0.03,0.12,0.24,0.13,0.21,0.27,0.07,0.11,0.12,0.01,0.07,0.08,1,0.09,0.14,0.128947368,0.115,0.130588235,,,,
,sit,0.42,0.42,0.34,0.21,0.14,0.04,0.22,0.23,0.49,0.18,0.24,0.23,0.35,0.49,0.08,0.15,0.15,0.09,1,0.51,0.262105263,0.51,0.248333333,,,,
,dining room,0.51,0.3,0.45,0.15,0.09,0.04,0.24,0.16,0.45,0.16,0.47,0.11,0.28,0.27,0.02,0.06,0.1,0.14,0.51,1,0.237368421,,0.237368421,,,,
,,,,,,,,,,,,,,,,,,,,,,0.169421053,0.172719354,0.17355749,,,,
276,Document,table,pencil,pen,book,class,water,food,lunch,dinner,fruit,home,desk,homework,laptop,wood,plastic,iphone,library,classroom,cup,,,,,,,2
,table,1,0.14,0.11,0.16,0.03,0.11,0.08,0.27,0.57,0.11,0.13,0.22,0.18,N/A,0.15,0.09,N/A,0.12,0.04,0.44,0.173529412,0.173529412,,0.238666667,0.148571429,0.135,
,pencil,0.14,1,0.42,0.21,0.13,0.08,0.03,0.14,0.01,0.05,0.07,0.41,0.27,N/A,0.23,0.37,N/A,0.08,0.12,0.16,0.171764706,0.17375,0.14,,,,
,pen,0.11,0.42,1,0.21,0.1,0.05,0.02,0.24,0.14,0.02,0.22,0.31,0.25,N/A,0.14,0.17,N/A,0.08,0.04,0.12,0.155294118,0.140666667,0.265,,,,
,book,0.16,0.21,0.21,1,0.11,0.04,0.04,0.09,0.07,0.05,0.12,0.26,0.23,N/A,0.04,0.07,N/A,0.74,0.12,0.09,0.155882353,0.147857143,0.193333333,,,,
,class,0.03,0.13,0.1,0.11,1,0.04,0.04,0.22,0.09,0.05,0.15,0.29,0.38,N/A,0.01,0.02,N/A,0.12,0.42,0.02,0.130588235,0.142307692,0.0925,,,,
,water,0.11,0.08,0.05,0.04,0.04,1,0.26,0.08,0.1,0.13,0.12,0.02,0.02,N/A,0.14,0.17,N/A,0.03,0.05,0.31,0.102941176,0.119166667,0.064,,,,
,food,0.08,0.03,0.02,0.04,0.04,0.26,1,0.2,0.21,0.39,0.16,0.05,0.04,N/A,0.14,0.09,N/A,0.02,0.04,0.15,0.115294118,0.135454545,0.078333333,,,,
,lunch,0.27,0.14,0.24,0.09,0.22,0.08,0.2,1,0.6,0.29,0.4,0.4,0.48,N/A,0.04,0.05,N/A,0.1,0.16,0.41,0.245294118,0.293,0.177142857,,,,
,dinner,0.57,0.01,0.14,0.07,0.09,0.1,0.21,0.6,1,0.29,0.5,0.13,0.35,N/A,0.11,0.03,N/A,0.09,0.02,0.55,0.227058824,0.23,0.22375,,,,
,fruit,0.11,0.05,0.02,0.05,0.05,0.13,0.39,0.29,0.29,1,0.17,0.01,0.05,N/A,0.22,0.1,N/A,0.04,0.01,0.27,0.132352941,0.10875,0.153333333,,,,
,home,0.13,0.07,0.22,0.12,0.15,0.12,0.16,0.4,0.5,0.17,1,0.18,0.38,N/A,0.12,0.05,N/A,0.17,0.08,0.16,0.187058824,0.162857143,0.204,,,,
,desk,0.22,0.41,0.31,0.26,0.29,0.02,0.05,0.4,0.13,0.01,0.18,1,0.43,N/A,0.08,0.16,N/A,0.24,0.25,0.21,0.214705882,0.228333333,0.207272727,,,,
,homework,0.18,0.27,0.25,0.23,0.38,0.02,0.04,0.48,0.35,0.05,0.38,0.43,1,N/A,0.06,0.07,N/A,0.25,0.25,0.2,0.228823529,0.166,0.255,,,,
,laptop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,wood,0.15,0.23,0.14,0.04,0.01,0.14,0.14,0.04,0.11,0.22,0.12,0.08,0.06,N/A,1,0.39,N/A,0.01,0.01,0.19,0.122352941,0.15,0.113846154,,,,
,plastic,0.09,0.37,0.17,0.07,0.02,0.17,0.09,0.05,0.03,0.1,0.05,0.16,0.07,N/A,0.39,1,N/A,0.02,0.06,0.19,0.123529412,0.09,0.130714286,,,,
,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,library,0.12,0.08,0.08,0.74,0.12,0.03,0.02,0.1,0.09,0.04,0.17,0.24,0.25,N/A,0.01,0.02,N/A,1,0.13,0.03,0.133529412,0.08,0.140666667,,,,
,classroom,0.04,0.12,0.04,0.12,0.42,0.05,0.04,0.16,0.02,0.01,0.08,0.25,0.25,N/A,0.01,0.06,N/A,0.13,1,0.01,0.106470588,0.01,0.1125,,,,
,cup,0.44,0.16,0.12,0.09,0.02,0.31,0.15,0.41,0.55,0.27,0.16,0.21,0.2,N/A,0.19,0.19,N/A,0.03,0.01,1,0.206470588,,0.206470588,,,,
,,,,,,,,,,,,,,,,,,,,,,0.162941176,0.150098388,0.159462043,,,,
277,Document,table,food,legs,meal,kitchen,dinner,lunch,chairs,sit,family,tea,chicken,coffee,television,couch,wood,glass,cup,plate,fork,,,,,,,0
,table,1,0.08,0.1,0.37,0.58,0.57,0.27,0.55,0.42,0.12,0.38,0.28,0.43,0.05,0.36,0.15,0.16,0.44,0.32,0.42,0.318421053,0.318421053,,0.279473684,0.303888889,0.232941176,
,food,0.08,1,0.1,0.55,0.14,0.21,0.2,0.08,0.11,0.13,0.12,0.26,0.14,0.05,0.04,0.14,0.04,0.15,0.1,0.14,0.146315789,0.15,0.08,,,,
,legs,0.1,0.1,1,0.06,0.13,0.11,0.1,0.18,0.35,0.05,0.12,0.21,0.08,0.05,0.17,0.06,0.06,0.18,0.06,0.09,0.118947368,0.121176471,0.1,,,,
,meal,0.37,0.55,0.06,1,0.47,0.62,0.5,0.22,0.3,0.2,0.32,0.54,0.38,0.06,0.18,0.09,0.09,0.44,0.24,0.35,0.314736842,0.3125,0.326666667,,,,
,kitchen,0.58,0.14,0.13,0.47,1,0.69,0.44,0.59,0.49,0.16,0.43,0.52,0.52,0.08,0.63,0.17,0.24,0.52,0.3,0.36,0.392631579,0.409333333,0.33,,,,
,dinner,0.57,0.21,0.11,0.62,0.69,1,0.6,0.43,0.49,0.23,0.49,0.49,0.53,0.08,0.4,0.11,0.14,0.55,0.37,0.44,0.397368421,0.382142857,0.44,,,,
,lunch,0.27,0.2,0.1,0.5,0.44,0.6,1,0.27,0.42,0.13,0.27,0.47,0.42,0.08,0.25,0.04,0.14,0.41,0.17,0.33,0.29,0.261538462,0.351666667,,,,
,chairs,0.55,0.08,0.18,0.22,0.59,0.43,0.27,1,0.55,0.18,0.37,0.22,0.36,0.12,0.53,0.29,0.27,0.3,0.21,0.24,0.313684211,0.303333333,0.331428571,,,,
,sit,0.42,0.11,0.35,0.3,0.49,0.49,0.42,0.55,1,0.18,0.39,0.3,0.4,0.14,0.51,0.14,0.17,0.44,0.14,0.28,0.327368421,0.280909091,0.39125,,,,
,family,0.12,0.13,0.05,0.2,0.16,0.23,0.13,0.18,0.18,1,0.09,0.13,0.08,0.12,0.14,0.04,0.06,0.06,0.02,0.08,0.115789474,0.082,0.153333333,,,,
,tea,0.38,0.12,0.12,0.32,0.43,0.49,0.27,0.37,0.39,0.09,1,0.29,0.55,0,0.24,0.09,0.23,0.52,0.21,0.24,0.281578947,0.263333333,0.298,,,,
,chicken,0.28,0.26,0.21,0.54,0.52,0.49,0.47,0.22,0.3,0.13,0.29,1,0.38,0.08,0.17,0.13,0.14,0.46,0.25,0.32,0.296842105,0.24125,0.337272727,,,,
,coffee,0.43,0.14,0.08,0.38,0.52,0.53,0.42,0.36,0.4,0.08,0.55,0.38,1,0.05,0.34,0.1,0.2,0.68,0.26,0.32,0.327368421,0.278571429,0.355833333,,,,
,television,0.05,0.05,0.05,0.06,0.08,0.08,0.08,0.12,0.14,0.12,0,0.08,0.05,1,0.17,0.02,0.02,0.06,0.06,-0.03,0.066315789,0.05,0.073846154,,,,
,couch,0.36,0.04,0.17,0.18,0.63,0.4,0.25,0.53,0.51,0.14,0.24,0.17,0.34,0.17,1,0.03,0.2,0.3,0.1,0.17,0.259473684,0.16,0.295,,,,
,wood,0.15,0.14,0.06,0.09,0.17,0.11,0.04,0.29,0.14,0.04,0.09,0.13,0.1,0.02,0.03,1,0.23,0.19,0.1,0.17,0.120526316,0.1725,0.106666667,,,,
,glass,0.16,0.04,0.06,0.09,0.24,0.14,0.14,0.27,0.17,0.06,0.23,0.14,0.2,0.02,0.2,0.23,1,0.36,0.25,0.19,0.167894737,0.266666667,0.149375,,,,
,cup,0.44,0.15,0.18,0.44,0.52,0.55,0.41,0.3,0.44,0.06,0.52,0.46,0.68,0.06,0.3,0.19,0.36,1,0.37,0.45,0.362105263,0.41,0.356470588,,,,
,plate,0.32,0.1,0.06,0.24,0.3,0.37,0.17,0.21,0.14,0.02,0.21,0.25,0.26,0.06,0.1,0.1,0.25,0.37,1,0.34,0.203684211,0.34,0.196111111,,,,
,fork,0.42,0.14,0.09,0.35,0.36,0.44,0.33,0.24,0.28,0.08,0.24,0.32,0.32,-0.03,0.17,0.17,0.19,0.45,0.34,1,0.257894737,,0.257894737,,,,
,,,,,,,,,,,,,,,,,,,,,,0.253947368,0.252825054,0.259606712,,,,
278,Document,table,chair,kitchen,napkin,place-mat,fork,spoon,knife,food,plate,cup,drink,coffee,sugar,cream,tea,biscuit,cookie,chocolate,ganache,,,,,,,1
,table,1,0.61,0.58,0.63,0.24,0.42,0.45,0.3,0.08,0.32,0.44,0.12,0.43,0.11,0.12,0.38,0.3,0.23,0.2,N/A,0.331111111,0.331111111,,0.361666667,0.311176471,0.335,
,chair,0.61,1,0.66,0.47,0.29,0.28,0.38,0.23,0.04,0.19,0.42,0.09,0.42,0.06,0.12,0.38,0.31,0.4,0.2,N/A,0.308333333,0.290588235,0.61,,,,
,kitchen,0.58,0.66,1,0.57,0.24,0.36,0.48,0.26,0.14,0.3,0.52,0.14,0.52,0.14,0.27,0.43,0.51,0.45,0.38,N/A,0.386111111,0.356875,0.62,,,,
,napkin,0.63,0.47,0.57,1,0.21,0.43,0.5,0.33,0.1,0.47,0.54,0.16,0.43,0.08,0.24,0.39,0.41,0.33,0.31,N/A,0.366666667,0.328666667,0.556666667,,,,
,place-mat,0.24,0.29,0.24,0.21,1,0.26,0.26,0.29,0.24,0.25,0.34,0.14,0.22,0.09,0.13,0.19,0.21,0.14,0.14,N/A,0.215555556,0.207142857,0.245,,,,
,fork,0.42,0.28,0.36,0.43,0.26,1,0.48,0.34,0.14,0.34,0.45,0.15,0.32,0.08,0.17,0.24,0.28,0.22,0.21,N/A,0.287222222,0.263076923,0.35,,,,
,spoon,0.45,0.38,0.48,0.5,0.26,0.48,1,0.37,0.18,0.39,0.59,0.21,0.45,0.14,0.3,0.37,0.45,0.36,0.35,N/A,0.372777778,0.346666667,0.425,,,,
,knife,0.3,0.23,0.26,0.33,0.29,0.34,0.37,1,0.12,0.23,0.39,0.1,0.21,0.09,0.22,0.2,0.33,0.15,0.16,N/A,0.24,0.2,0.302857143,,,,
,food,0.08,0.04,0.14,0.1,0.24,0.14,0.18,0.12,1,0.1,0.15,0.19,0.14,0.22,0.14,0.12,0.1,0.12,0.24,N/A,0.142222222,0.152,0.13,,,,
,plate,0.32,0.19,0.3,0.47,0.25,0.34,0.39,0.23,0.1,1,0.37,0.08,0.26,0.05,0.12,0.21,0.24,0.18,0.18,N/A,0.237777778,0.187777778,0.287777778,,,,
,cup,0.44,0.42,0.52,0.54,0.34,0.45,0.59,0.39,0.15,0.37,1,0.4,0.68,0.27,0.34,0.52,0.5,0.36,0.43,N/A,0.428333333,0.4375,0.421,,,,
,drink,0.12,0.09,0.14,0.16,0.14,0.15,0.21,0.1,0.19,0.08,0.4,1,0.36,0.1,0.16,0.25,0.18,0.14,0.29,N/A,0.181111111,0.211428571,0.161818182,,,,
,coffee,0.43,0.42,0.52,0.43,0.22,0.32,0.45,0.21,0.14,0.26,0.68,0.36,1,0.32,0.33,0.55,0.37,0.33,0.48,N/A,0.378888889,0.396666667,0.37,,,,
,sugar,0.11,0.06,0.14,0.08,0.09,0.08,0.14,0.09,0.22,0.05,0.27,0.1,0.32,1,0.29,0.28,0.19,0.21,0.37,N/A,0.171666667,0.268,0.134615385,,,,
,cream,0.12,0.12,0.27,0.24,0.13,0.17,0.3,0.22,0.14,0.12,0.34,0.16,0.33,0.29,1,0.23,0.28,0.4,0.76,N/A,0.256666667,0.4175,0.210714286,,,,
,tea,0.38,0.38,0.43,0.39,0.19,0.24,0.37,0.2,0.12,0.21,0.52,0.25,0.55,0.28,0.23,1,0.4,0.27,0.35,N/A,0.32,0.34,0.316,,,,
,biscuit,0.3,0.31,0.51,0.41,0.21,0.28,0.45,0.33,0.1,0.24,0.5,0.18,0.37,0.19,0.28,0.4,1,0.3,0.39,N/A,0.319444444,0.345,0.31625,,,,
,cookie,0.23,0.4,0.45,0.33,0.14,0.22,0.36,0.15,0.12,0.18,0.36,0.14,0.33,0.21,0.4,0.27,0.3,1,0.46,N/A,0.280555556,0.46,0.27,,,,
,chocolate,0.2,0.2,0.38,0.31,0.14,0.21,0.35,0.16,0.24,0.18,0.43,0.29,0.48,0.37,0.76,0.35,0.39,0.46,1,N/A,0.327777778,,0.327777778,,,,
,ganache,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.292222222,0.307777804,0.336415401,,,,
279,Document,table,chair,drink,coffee,stool,food,people,thanksgiving,family,eating,fork,spoon,knife,ping pong,pool,wood,metal,less,flat,sit,,,,,,,0
,table,1,0.61,0.12,0.43,0.36,0.08,0.08,0.22,0.12,0.25,0.42,0.45,0.3,0.09,0.12,0.15,0.1,0.1,0.13,0.42,0.239473684,0.239473684,,0.221052632,0.171111111,0.200588235,
,chair,0.61,1,0.09,0.42,0.55,0.04,0.12,0.23,0.11,0.18,0.28,0.38,0.23,0.1,0.19,0.08,0.06,0.11,0.14,0.62,0.238947368,0.218333333,0.61,,,,
,drink,0.12,0.09,1,0.36,0.14,0.19,0.2,0.06,0.09,0.25,0.15,0.21,0.1,0.1,0.23,0.04,0.02,0.1,0.07,0.21,0.143684211,0.148235294,0.105,,,,
,coffee,0.43,0.42,0.36,1,0.27,0.14,0.18,0.23,0.08,0.24,0.32,0.45,0.21,0.06,0.16,0.1,0.07,0.09,0.09,0.4,0.226315789,0.193125,0.403333333,,,,
,stool,0.36,0.55,0.14,0.27,1,0.09,0.11,0.16,0.1,0.17,0.2,0.25,0.27,0.14,0.22,0.14,0.01,0.11,0.19,0.53,0.211052632,0.179333333,0.33,,,,
,food,0.08,0.04,0.19,0.14,0.09,1,0.29,0.08,0.13,0.65,0.14,0.18,0.12,0.03,0.09,0.14,0.03,0.17,0.08,0.11,0.146315789,0.16,0.108,,,,
,people,0.08,0.12,0.2,0.18,0.11,0.29,1,0.2,0.25,0.23,0.08,0.07,0.09,0.11,0.16,0.15,0.07,0.29,0.16,0.22,0.161052632,0.16,0.163333333,,,,
,thanksgiving,0.22,0.23,0.06,0.23,0.16,0.08,0.2,1,0.16,0.15,0.17,0.16,0.07,0.09,0.15,0.06,0,0.07,0.04,0.24,0.133684211,0.113333333,0.168571429,,,,
,family,0.12,0.11,0.09,0.08,0.1,0.13,0.25,0.16,1,0.12,0.08,0.06,0.02,0.03,0.09,0.04,0.03,0.16,0.05,0.18,0.1,0.078181818,0.13,,,,
,eating,0.25,0.18,0.25,0.24,0.17,0.65,0.23,0.15,0.12,1,0.28,0.34,0.18,0.05,0.11,0.06,0.03,0.16,0.1,0.22,0.198421053,0.153,0.248888889,,,,
,fork,0.42,0.28,0.15,0.32,0.2,0.14,0.08,0.17,0.08,0.28,1,0.48,0.34,0.09,0.12,0.17,0.19,0.08,0.18,0.28,0.213157895,0.214444444,0.212,,,,
,spoon,0.45,0.38,0.21,0.45,0.25,0.18,0.07,0.16,0.06,0.34,0.48,1,0.37,0.1,0.18,0.22,0.28,0.11,0.29,0.32,0.257894737,0.23375,0.275454545,,,,
,knife,0.3,0.23,0.1,0.21,0.27,0.12,0.09,0.07,0.02,0.18,0.34,0.37,1,-0.01,0.17,0.43,0.13,0.09,0.24,0.19,0.186315789,0.177142857,0.191666667,,,,
,ping pong,0.09,0.1,0.1,0.06,0.14,0.03,0.11,0.09,0.03,0.05,0.09,0.1,-0.01,1,0.15,0.03,0,0.15,0.1,0.23,0.086315789,0.11,0.075384615,,,,
,pool,0.12,0.19,0.23,0.16,0.22,0.09,0.16,0.15,0.09,0.11,0.12,0.18,0.17,0.15,1,0.08,0.14,0.11,0.14,0.33,0.154736842,0.16,0.152857143,,,,
,wood,0.15,0.08,0.04,0.1,0.14,0.14,0.15,0.06,0.04,0.06,0.17,0.22,0.43,0.03,0.08,1,0.23,0.09,0.29,0.14,0.138947368,0.1875,0.126,,,,
,metal,0.1,0.06,0.02,0.07,0.01,0.03,0.07,0,0.03,0.03,0.19,0.28,0.13,0,0.14,0.23,1,0.08,0.25,0.03,0.092105263,0.12,0.086875,,,,
,less,0.1,0.11,0.1,0.09,0.11,0.17,0.29,0.07,0.16,0.16,0.08,0.11,0.09,0.15,0.11,0.09,0.08,1,0.15,0.13,0.123684211,0.14,0.121764706,,,,
,flat,0.13,0.14,0.07,0.09,0.19,0.08,0.16,0.04,0.05,0.1,0.18,0.29,0.24,0.1,0.14,0.29,0.25,0.15,1,0.2,0.152105263,,0.149444444,,,,
,sit,0.42,0.62,0.21,0.4,0.53,0.11,0.22,0.24,0.18,0.22,0.28,0.32,0.19,0.23,0.33,0.14,0.03,0.13,0.2,1,0.263157895,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.173368421,0.165880728,0.203254117,,,,
280,Document,table,chair,drink,coffee,stool,food,people,thanksgiving,family,eating,fork,spoon,knife,ping pong,pool,wood,metal,less,flat,sit,,,,,,,0
,table,1,0.61,0.12,0.43,0.36,0.08,0.08,0.22,0.12,0.25,0.42,0.45,0.3,0.09,0.12,0.15,0.1,0.1,0.13,0.42,0.239473684,0.239473684,,0.221052632,0.171111111,0.200588235,
,chair,0.61,1,0.09,0.42,0.55,0.04,0.12,0.23,0.11,0.18,0.28,0.38,0.23,0.1,0.19,0.08,0.06,0.11,0.14,0.62,0.238947368,0.218333333,0.61,,,,
,drink,0.12,0.09,1,0.36,0.14,0.19,0.2,0.06,0.09,0.25,0.15,0.21,0.1,0.1,0.23,0.04,0.02,0.1,0.07,0.21,0.143684211,0.148235294,0.105,,,,
,coffee,0.43,0.42,0.36,1,0.27,0.14,0.18,0.23,0.08,0.24,0.32,0.45,0.21,0.06,0.16,0.1,0.07,0.09,0.09,0.4,0.226315789,0.193125,0.403333333,,,,
,stool,0.36,0.55,0.14,0.27,1,0.09,0.11,0.16,0.1,0.17,0.2,0.25,0.27,0.14,0.22,0.14,0.01,0.11,0.19,0.53,0.211052632,0.179333333,0.33,,,,
,food,0.08,0.04,0.19,0.14,0.09,1,0.29,0.08,0.13,0.65,0.14,0.18,0.12,0.03,0.09,0.14,0.03,0.17,0.08,0.11,0.146315789,0.16,0.108,,,,
,people,0.08,0.12,0.2,0.18,0.11,0.29,1,0.2,0.25,0.23,0.08,0.07,0.09,0.11,0.16,0.15,0.07,0.29,0.16,0.22,0.161052632,0.16,0.163333333,,,,
,thanksgiving,0.22,0.23,0.06,0.23,0.16,0.08,0.2,1,0.16,0.15,0.17,0.16,0.07,0.09,0.15,0.06,0,0.07,0.04,0.24,0.133684211,0.113333333,0.168571429,,,,
,family,0.12,0.11,0.09,0.08,0.1,0.13,0.25,0.16,1,0.12,0.08,0.06,0.02,0.03,0.09,0.04,0.03,0.16,0.05,0.18,0.1,0.078181818,0.13,,,,
,eating,0.25,0.18,0.25,0.24,0.17,0.65,0.23,0.15,0.12,1,0.28,0.34,0.18,0.05,0.11,0.06,0.03,0.16,0.1,0.22,0.198421053,0.153,0.248888889,,,,
,fork,0.42,0.28,0.15,0.32,0.2,0.14,0.08,0.17,0.08,0.28,1,0.48,0.34,0.09,0.12,0.17,0.19,0.08,0.18,0.28,0.213157895,0.214444444,0.212,,,,
,spoon,0.45,0.38,0.21,0.45,0.25,0.18,0.07,0.16,0.06,0.34,0.48,1,0.37,0.1,0.18,0.22,0.28,0.11,0.29,0.32,0.257894737,0.23375,0.275454545,,,,
,knife,0.3,0.23,0.1,0.21,0.27,0.12,0.09,0.07,0.02,0.18,0.34,0.37,1,-0.01,0.17,0.43,0.13,0.09,0.24,0.19,0.186315789,0.177142857,0.191666667,,,,
,ping pong,0.09,0.1,0.1,0.06,0.14,0.03,0.11,0.09,0.03,0.05,0.09,0.1,-0.01,1,0.15,0.03,0,0.15,0.1,0.23,0.086315789,0.11,0.075384615,,,,
,pool,0.12,0.19,0.23,0.16,0.22,0.09,0.16,0.15,0.09,0.11,0.12,0.18,0.17,0.15,1,0.08,0.14,0.11,0.14,0.33,0.154736842,0.16,0.152857143,,,,
,wood,0.15,0.08,0.04,0.1,0.14,0.14,0.15,0.06,0.04,0.06,0.17,0.22,0.43,0.03,0.08,1,0.23,0.09,0.29,0.14,0.138947368,0.1875,0.126,,,,
,metal,0.1,0.06,0.02,0.07,0.01,0.03,0.07,0,0.03,0.03,0.19,0.28,0.13,0,0.14,0.23,1,0.08,0.25,0.03,0.092105263,0.12,0.086875,,,,
,less,0.1,0.11,0.1,0.09,0.11,0.17,0.29,0.07,0.16,0.16,0.08,0.11,0.09,0.15,0.11,0.09,0.08,1,0.15,0.13,0.123684211,0.14,0.121764706,,,,
,flat,0.13,0.14,0.07,0.09,0.19,0.08,0.16,0.04,0.05,0.1,0.18,0.29,0.24,0.1,0.14,0.29,0.25,0.15,1,0.2,0.152105263,,0.149444444,,,,
,sit,0.42,0.62,0.21,0.4,0.53,0.11,0.22,0.24,0.18,0.22,0.28,0.32,0.19,0.23,0.33,0.14,0.03,0.13,0.2,1,0.263157895,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.173368421,0.165880728,0.203254117,,,,
281,Document,table,breakfast,lunch,dinner,family,kitchen,cooking,home,comfort,conversation,fork,knife,spoon,placemat,plate,wood,chair,table cloth,dining room,food,,,,,,,0
,table,1,0.43,0.27,0.57,0.12,0.58,0.21,0.13,0.13,0.21,0.42,0.3,0.45,0.32,0.32,0.15,0.61,0.87,0.51,0.08,0.351578947,0.351578947,,0.312631579,0.289444444,0.229411765,
,breakfast,0.43,1,0.62,0.65,0.13,0.58,0.35,0.27,0.17,0.22,0.31,0.19,0.4,0.21,0.23,0.09,0.41,0.4,0.36,0.17,0.325789474,0.32,0.43,,,,
,lunch,0.27,0.62,1,0.6,0.13,0.44,0.31,0.4,0.1,0.26,0.33,0.14,0.33,0.24,0.17,0.04,0.3,0.24,0.3,0.2,0.285263158,0.266470588,0.445,,,,
,dinner,0.57,0.65,0.6,1,0.23,0.69,0.42,0.5,0.23,0.41,0.44,0.26,0.45,0.32,0.37,0.11,0.48,0.52,0.45,0.21,0.416315789,0.380625,0.606666667,,,,
,family,0.12,0.13,0.13,0.23,1,0.16,0.18,0.35,0.26,0.12,0.08,0.02,0.06,0.16,0.02,0.04,0.11,0.14,0.15,0.13,0.136315789,0.132,0.1525,,,,
,kitchen,0.58,0.58,0.44,0.69,0.16,1,0.47,0.35,0.21,0.22,0.36,0.26,0.48,0.36,0.3,0.17,0.66,0.55,0.69,0.14,0.403684211,0.372857143,0.49,,,,
,cooking,0.21,0.35,0.31,0.42,0.18,0.47,1,0.23,0.19,0.11,0.32,0.35,0.42,0.11,0.16,0.24,0.15,0.25,0.21,0.42,0.268421053,0.243076923,0.323333333,,,,
,home,0.13,0.27,0.4,0.5,0.35,0.35,0.23,1,0.36,0.24,0.14,0.2,0.11,0.14,0.09,0.12,0.22,0.17,0.25,0.16,0.233157895,0.183333333,0.318571429,,,,
,comfort,0.13,0.17,0.1,0.23,0.26,0.21,0.19,0.36,1,0.34,0.09,0.14,0.05,-0.02,0.02,0.2,0.27,0.19,0.32,0.22,0.182631579,0.165454545,0.20625,,,,
,conversation,0.21,0.22,0.26,0.41,0.12,0.22,0.11,0.24,0.34,1,0.19,0.13,0.14,0.03,0.14,0.03,0.32,0.19,0.32,0.06,0.193684211,0.155,0.236666667,,,,
,fork,0.42,0.31,0.33,0.44,0.08,0.36,0.32,0.14,0.09,0.19,1,0.34,0.48,0.15,0.34,0.17,0.28,0.4,0.22,0.14,0.273684211,0.28,0.268,,,,
,knife,0.3,0.19,0.14,0.26,0.02,0.26,0.35,0.2,0.14,0.13,0.34,1,0.37,0.08,0.23,0.43,0.23,0.4,0.14,0.12,0.227894737,0.25,0.211818182,,,,
,spoon,0.45,0.4,0.33,0.45,0.06,0.48,0.42,0.11,0.05,0.14,0.48,0.37,1,0.13,0.39,0.22,0.38,0.43,0.3,0.18,0.303684211,0.29,0.311666667,,,,
,placemat,0.32,0.21,0.24,0.32,0.16,0.36,0.11,0.14,-0.02,0.03,0.15,0.08,0.13,1,0.15,-0.03,0.23,0.3,0.17,0.04,0.162631579,0.143333333,0.171538462,,,,
,plate,0.32,0.23,0.17,0.37,0.02,0.3,0.16,0.09,0.02,0.14,0.34,0.23,0.39,0.15,1,0.1,0.19,0.29,0.17,0.1,0.198947368,0.17,0.209285714,,,,
,wood,0.15,0.09,0.04,0.11,0.04,0.17,0.24,0.12,0.2,0.03,0.17,0.43,0.22,-0.03,0.1,1,0.08,0.29,0.09,0.14,0.141052632,0.15,0.138666667,,,,
,chair,0.61,0.41,0.3,0.48,0.11,0.66,0.15,0.22,0.27,0.32,0.28,0.23,0.38,0.23,0.19,0.08,1,0.56,0.76,0.04,0.330526316,0.453333333,0.3075,,,,
,table cloth,0.87,0.4,0.24,0.52,0.14,0.55,0.25,0.17,0.19,0.19,0.4,0.4,0.43,0.3,0.29,0.29,0.56,1,0.49,0.13,0.358421053,0.31,0.364117647,,,,
,dining room,0.51,0.36,0.3,0.45,0.15,0.69,0.21,0.25,0.32,0.32,0.22,0.14,0.3,0.17,0.17,0.09,0.76,0.49,1,0.09,0.315263158,,0.327777778,,,,
,food,0.08,0.17,0.2,0.21,0.13,0.14,0.42,0.16,0.22,0.06,0.14,0.12,0.18,0.04,0.1,0.14,0.04,0.13,0.09,1,0.145789474,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.262736842,0.256503508,0.306631067,,,,
282,Document,Table,cup,fellowship,friends,food,landlord,tacos,glass,wood,chairs,cooking,kitchen,dining,room,sitting,eating,talking,passing,praying,laughing,,,,,,,0
,Table,1,0.44,0.06,0.18,0.08,0.06,0.02,0.16,0.15,0.55,0.21,0.58,0.66,0.44,0.4,0.25,0.21,0.09,0.05,0.2,0.252105263,0.252105263,,0.266842105,0.238333333,0.242352941,
,cup,0.44,1,0.08,0.09,0.15,0,0.12,0.36,0.19,0.3,0.39,0.52,0.35,0.24,0.38,0.26,0.2,0.18,0.09,0.22,0.24,0.228888889,0.44,,,,
